"source","target","weight","cor_type"
"GGB9758_SGB15368","PWY_5899",0.57,"negative"
"Blautia_obeum","PWY_5899",0.52,"positive"
"Agathobaculum_butyriciproducens","PWY_5899",0.52,"positive"
"Ruminococcus_torques","PWY_5899",0.54,"positive"
"Coprococcus_eutactus","PWY_5918",0.55,"negative"
"Oscillibacter_sp_ER4","PWY_5918",0.56,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5918",0.54,"negative"
"GGB9758_SGB15368","PWY_5918",0.69,"negative"
"Blautia_obeum","PWY_5918",0.58,"positive"
"Blautia_faecis","PWY_5918",0.55,"positive"
"Agathobaculum_butyriciproducens","PWY_5918",0.57,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6147",0.61,"positive"
"Clostridiaceae_bacterium","PWY_6147",0.54,"positive"
"Dysosmobacter_welbionis","PWY_6147",0.56,"positive"
"Coprococcus_eutactus","PWY_6285",0.58,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_6285",0.52,"negative"
"GGB9758_SGB15368","PWY_6285",0.51,"negative"
"Ruminococcus_torques","PWY_6285",0.53,"positive"
"Coprococcus_eutactus","PWY_6961",0.6,"negative"
"Oscillibacter_sp_ER4","PWY_6961",0.56,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_6961",0.51,"negative"
"GGB9758_SGB15368","PWY_6961",0.71,"negative"
"Blautia_luti","PWY_6961",0.52,"negative"
"Ruminococcus_torques","PWY_6961",0.58,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_7663",0.63,"positive"
"Clostridiaceae_bacterium","PWY_7663",0.57,"positive"
"Dysosmobacter_welbionis","PWY_7663",0.52,"positive"
"Coprococcus_eutactus","PWY0_1297",0.55,"negative"
"Oscillibacter_sp_ER4","PWY0_1297",0.56,"negative"
"GGB9758_SGB15368","PWY0_1297",0.56,"negative"
"Blautia_obeum","PWY0_1297",0.63,"positive"
"Fusicatenibacter_saccharivorans","PWY0_1297",0.56,"positive"
"Blautia_faecis","PWY0_1297",0.61,"positive"
"Agathobaculum_butyriciproducens","PWY0_1297",0.61,"positive"
"Ruminococcus_torques","PWY0_1297",0.53,"positive"
"Oscillibacter_sp_ER4","PWY0_1298",0.5,"negative"
"GGB9758_SGB15368","PWY0_1298",0.61,"negative"
"Blautia_obeum","PWY0_1298",0.64,"positive"
"Fusicatenibacter_saccharivorans","PWY0_1298",0.55,"positive"
"Blautia_faecis","PWY0_1298",0.55,"positive"
"Agathobaculum_butyriciproducens","PWY0_1298",0.64,"positive"
"Ruminococcus_torques","PWY0_1298",0.61,"positive"
"Blautia_obeum","PWY0_1477",0.5,"positive"
"Clostridiaceae_bacterium","PWY0_1477",0.56,"positive"
"Blautia_faecis","PWY0_1477",0.5,"positive"
"Agathobaculum_butyriciproducens","PWY0_1477",0.57,"positive"
"Ruminococcus_torques","PWY0_1477",0.56,"positive"
"Coprococcus_eutactus","PWY0_301",0.57,"negative"
"Oscillibacter_sp_ER4","PWY0_301",0.55,"negative"
"GGB9758_SGB15368","PWY0_301",0.68,"negative"
"Blautia_luti","PWY0_301",0.53,"negative"
"Ruminococcus_torques","PWY0_301",0.56,"positive"
"Coprococcus_eutactus","PWY0_781",0.6,"negative"
"Oscillibacter_sp_ER4","PWY0_781",0.57,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY0_781",0.5,"negative"
"GGB9758_SGB15368","PWY0_781",0.64,"negative"
"Blautia_obeum","PWY0_781",0.58,"positive"
"Blautia_luti","PWY0_781",0.56,"negative"
"Fusicatenibacter_saccharivorans","PWY0_781",0.5,"positive"
"Ruminococcus_torques","PWY0_781",0.55,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY0_845",0.56,"positive"
"Clostridiaceae_bacterium","PWY0_845",0.53,"positive"
"Dysosmobacter_welbionis","PWY0_845",0.5,"positive"
"GGB9758_SGB15368","PWY4FS_7",0.55,"negative"
"Blautia_obeum","PWY4FS_7",0.61,"positive"
"Fusicatenibacter_saccharivorans","PWY4FS_7",0.64,"positive"
"Clostridiaceae_bacterium","PWY4FS_7",0.53,"positive"
"Blautia_faecis","PWY4FS_7",0.59,"positive"
"Agathobaculum_butyriciproducens","PWY4FS_7",0.71,"positive"
"Ruminococcus_torques","PWY4FS_7",0.53,"positive"
"GGB9758_SGB15368","PWY4FS_8",0.55,"negative"
"Blautia_obeum","PWY4FS_8",0.61,"positive"
"Fusicatenibacter_saccharivorans","PWY4FS_8",0.64,"positive"
"Clostridiaceae_bacterium","PWY4FS_8",0.53,"positive"
"Blautia_faecis","PWY4FS_8",0.59,"positive"
"Agathobaculum_butyriciproducens","PWY4FS_8",0.71,"positive"
"Ruminococcus_torques","PWY4FS_8",0.53,"positive"
"GGB9758_SGB15368","PWY66_409",0.55,"negative"
"Blautia_obeum","PWY66_409",0.59,"positive"
"Fusicatenibacter_saccharivorans","PWY66_409",0.61,"positive"
"Clostridiaceae_bacterium","PWY66_409",0.54,"positive"
"Blautia_faecis","PWY66_409",0.66,"positive"
"Agathobaculum_butyriciproducens","PWY66_409",0.68,"positive"
"Ruminococcus_torques","PWY66_409",0.52,"positive"
"Coprococcus_eutactus","PYRIDNUCSAL_PWY",0.53,"negative"
"Oscillibacter_sp_ER4","PYRIDNUCSAL_PWY",0.55,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PYRIDNUCSAL_PWY",0.53,"negative"
"Fusicatenibacter_saccharivorans","PYRIDNUCSAL_PWY",0.52,"positive"
"Agathobaculum_butyriciproducens","PYRIDNUCSAL_PWY",0.56,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PYRIDOXSYN_PWY",0.57,"positive"
"Clostridiaceae_bacterium","PYRIDOXSYN_PWY",0.53,"positive"
"Dysosmobacter_welbionis","PYRIDOXSYN_PWY",0.53,"positive"
"Blautia_obeum","ANAGLYCOLYSIS_PWY",0.51,"positive"
"Fusicatenibacter_saccharivorans","ANAGLYCOLYSIS_PWY",0.66,"positive"
"Clostridiaceae_bacterium","ANAGLYCOLYSIS_PWY",0.68,"positive"
"Blautia_faecis","ANAGLYCOLYSIS_PWY",0.71,"positive"
"Agathobaculum_butyriciproducens","ANAGLYCOLYSIS_PWY",0.67,"positive"
"Clostridiaceae_bacterium_AF18_31LB","ARGSYNBSUB_PWY",0.52,"positive"
"Fusicatenibacter_saccharivorans","ARGSYNBSUB_PWY",0.64,"positive"
"Clostridiaceae_bacterium","ARGSYNBSUB_PWY",0.69,"positive"
"Blautia_faecis","ARGSYNBSUB_PWY",0.68,"positive"
"Agathobaculum_butyriciproducens","ARGSYNBSUB_PWY",0.66,"positive"
"Fusicatenibacter_saccharivorans","ARO_PWY",0.64,"positive"
"Clostridiaceae_bacterium","ARO_PWY",0.67,"positive"
"Blautia_faecis","ARO_PWY",0.69,"positive"
"Agathobaculum_butyriciproducens","ARO_PWY",0.67,"positive"
"Clostridiaceae_bacterium_AF18_31LB","COA_PWY",0.51,"positive"
"Fusicatenibacter_saccharivorans","COA_PWY",0.63,"positive"
"Clostridiaceae_bacterium","COA_PWY",0.68,"positive"
"Blautia_faecis","COA_PWY",0.68,"positive"
"Agathobaculum_butyriciproducens","COA_PWY",0.65,"positive"
"Clostridiaceae_bacterium_AF18_31LB","COA_PWY_1",0.5,"positive"
"Fusicatenibacter_saccharivorans","COA_PWY_1",0.63,"positive"
"Clostridiaceae_bacterium","COA_PWY_1",0.68,"positive"
"Blautia_faecis","COA_PWY_1",0.68,"positive"
"Agathobaculum_butyriciproducens","COA_PWY_1",0.66,"positive"
"Fusicatenibacter_saccharivorans","COMPLETE_ARO_PWY",0.64,"positive"
"Clostridiaceae_bacterium","COMPLETE_ARO_PWY",0.68,"positive"
"Blautia_faecis","COMPLETE_ARO_PWY",0.69,"positive"
"Agathobaculum_butyriciproducens","COMPLETE_ARO_PWY",0.67,"positive"
"Fusicatenibacter_saccharivorans","DTDPRHAMSYN_PWY",0.63,"positive"
"Clostridiaceae_bacterium","DTDPRHAMSYN_PWY",0.67,"positive"
"Blautia_faecis","DTDPRHAMSYN_PWY",0.68,"positive"
"Agathobaculum_butyriciproducens","DTDPRHAMSYN_PWY",0.66,"positive"
"Blautia_obeum","GLYCOGENSYNTH_PWY",0.51,"positive"
"Fusicatenibacter_saccharivorans","GLYCOGENSYNTH_PWY",0.66,"positive"
"Clostridiaceae_bacterium","GLYCOGENSYNTH_PWY",0.67,"positive"
"Blautia_faecis","GLYCOGENSYNTH_PWY",0.71,"positive"
"Agathobaculum_butyriciproducens","GLYCOGENSYNTH_PWY",0.67,"positive"
"Clostridiaceae_bacterium_AF18_31LB","HISTSYN_PWY",0.52,"positive"
"Fusicatenibacter_saccharivorans","HISTSYN_PWY",0.63,"positive"
"Clostridiaceae_bacterium","HISTSYN_PWY",0.68,"positive"
"Blautia_faecis","HISTSYN_PWY",0.65,"positive"
"Agathobaculum_butyriciproducens","HISTSYN_PWY",0.66,"positive"
"Clostridiaceae_bacterium_AF18_31LB","NONMEVIPP_PWY",0.51,"positive"
"Fusicatenibacter_saccharivorans","NONMEVIPP_PWY",0.61,"positive"
"Clostridiaceae_bacterium","NONMEVIPP_PWY",0.68,"positive"
"Blautia_faecis","NONMEVIPP_PWY",0.68,"positive"
"Agathobaculum_butyriciproducens","NONMEVIPP_PWY",0.65,"positive"
"Fusicatenibacter_saccharivorans","PANTO_PWY",0.63,"positive"
"Clostridiaceae_bacterium","PANTO_PWY",0.7,"positive"
"Blautia_faecis","PANTO_PWY",0.67,"positive"
"Agathobaculum_butyriciproducens","PANTO_PWY",0.67,"positive"
"Fusicatenibacter_saccharivorans","PANTOSYN_PWY",0.63,"positive"
"Clostridiaceae_bacterium","PANTOSYN_PWY",0.69,"positive"
"Blautia_faecis","PANTOSYN_PWY",0.67,"positive"
"Agathobaculum_butyriciproducens","PANTOSYN_PWY",0.66,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PEPTIDOGLYCANSYN_PWY",0.52,"positive"
"Fusicatenibacter_saccharivorans","PEPTIDOGLYCANSYN_PWY",0.59,"positive"
"Clostridiaceae_bacterium","PEPTIDOGLYCANSYN_PWY",0.67,"positive"
"Blautia_faecis","PEPTIDOGLYCANSYN_PWY",0.66,"positive"
"Agathobaculum_butyriciproducens","PEPTIDOGLYCANSYN_PWY",0.64,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_3841",0.54,"positive"
"Fusicatenibacter_saccharivorans","PWY_3841",0.55,"positive"
"Clostridiaceae_bacterium","PWY_3841",0.67,"positive"
"Blautia_faecis","PWY_3841",0.64,"positive"
"Agathobaculum_butyriciproducens","PWY_3841",0.62,"positive"
"Fusicatenibacter_saccharivorans","PWY_5097",0.62,"positive"
"Clostridiaceae_bacterium","PWY_5097",0.68,"positive"
"Blautia_faecis","PWY_5097",0.68,"positive"
"Agathobaculum_butyriciproducens","PWY_5097",0.67,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_5686",0.53,"positive"
"Fusicatenibacter_saccharivorans","PWY_5686",0.61,"positive"
"Clostridiaceae_bacterium","PWY_5686",0.68,"positive"
"Blautia_faecis","PWY_5686",0.67,"positive"
"Agathobaculum_butyriciproducens","PWY_5686",0.65,"positive"
"Blautia_obeum","PWY_6151",0.51,"positive"
"Fusicatenibacter_saccharivorans","PWY_6151",0.63,"positive"
"Clostridiaceae_bacterium","PWY_6151",0.66,"positive"
"Blautia_faecis","PWY_6151",0.69,"positive"
"Agathobaculum_butyriciproducens","PWY_6151",0.66,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6163",0.5,"positive"
"Fusicatenibacter_saccharivorans","PWY_6163",0.63,"positive"
"Clostridiaceae_bacterium","PWY_6163",0.67,"positive"
"Blautia_faecis","PWY_6163",0.68,"positive"
"Agathobaculum_butyriciproducens","PWY_6163",0.66,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6385",0.53,"positive"
"Fusicatenibacter_saccharivorans","PWY_6385",0.58,"positive"
"Clostridiaceae_bacterium","PWY_6385",0.68,"positive"
"Blautia_faecis","PWY_6385",0.66,"positive"
"Agathobaculum_butyriciproducens","PWY_6385",0.64,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6386",0.52,"positive"
"Fusicatenibacter_saccharivorans","PWY_6386",0.59,"positive"
"Clostridiaceae_bacterium","PWY_6386",0.67,"positive"
"Blautia_faecis","PWY_6386",0.67,"positive"
"Agathobaculum_butyriciproducens","PWY_6386",0.65,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6387",0.52,"positive"
"Fusicatenibacter_saccharivorans","PWY_6387",0.59,"positive"
"Clostridiaceae_bacterium","PWY_6387",0.67,"positive"
"Blautia_faecis","PWY_6387",0.66,"positive"
"Agathobaculum_butyriciproducens","PWY_6387",0.64,"positive"
"Blautia_obeum","PWY_6470",0.53,"positive"
"Fusicatenibacter_saccharivorans","PWY_6470",0.68,"positive"
"Clostridiaceae_bacterium","PWY_6470",0.56,"positive"
"Blautia_faecis","PWY_6470",0.65,"positive"
"Agathobaculum_butyriciproducens","PWY_6470",0.72,"positive"
"Ruminococcus_torques","PWY_6470",0.53,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_6700",0.57,"positive"
"Fusicatenibacter_saccharivorans","PWY_6700",0.54,"positive"
"Clostridiaceae_bacterium","PWY_6700",0.67,"positive"
"Blautia_faecis","PWY_6700",0.62,"positive"
"Agathobaculum_butyriciproducens","PWY_6700",0.61,"positive"
"Blautia_obeum","PWY_7238",0.51,"positive"
"Fusicatenibacter_saccharivorans","PWY_7238",0.67,"positive"
"Clostridiaceae_bacterium","PWY_7238",0.67,"positive"
"Blautia_faecis","PWY_7238",0.71,"positive"
"Agathobaculum_butyriciproducens","PWY_7238",0.67,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_7790",0.53,"positive"
"Fusicatenibacter_saccharivorans","PWY_7790",0.61,"positive"
"Clostridiaceae_bacterium","PWY_7790",0.68,"positive"
"Blautia_faecis","PWY_7790",0.67,"positive"
"Agathobaculum_butyriciproducens","PWY_7790",0.65,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_7791",0.53,"positive"
"Fusicatenibacter_saccharivorans","PWY_7791",0.61,"positive"
"Clostridiaceae_bacterium","PWY_7791",0.68,"positive"
"Blautia_faecis","PWY_7791",0.67,"positive"
"Agathobaculum_butyriciproducens","PWY_7791",0.65,"positive"
"Clostridiaceae_bacterium_AF18_31LB","PWY_7851",0.5,"positive"
"Fusicatenibacter_saccharivorans","PWY_7851",0.63,"positive"
"Clostridiaceae_bacterium","PWY_7851",0.68,"positive"
"Blautia_faecis","PWY_7851",0.68,"positive"
"Agathobaculum_butyriciproducens","PWY_7851",0.66,"positive"
"Blautia_obeum","THISYNARA_PWY",0.53,"positive"
"Fusicatenibacter_saccharivorans","THISYNARA_PWY",0.63,"positive"
"Clostridiaceae_bacterium","THISYNARA_PWY",0.63,"positive"
"Blautia_faecis","THISYNARA_PWY",0.65,"positive"
"Agathobaculum_butyriciproducens","THISYNARA_PWY",0.64,"positive"
