  Mean (SD),7.90 (5.08),6.59 (1.84),NA (NA),9.61 (4.12),6.89 (1.52),NA (NA),6.80 (2.49),6.44 (1.87),NA (NA)
"  Median [Min, Max]","6.25 [4.20, 23.8]","6.40 [3.80, 13.7]","NA [NA, NA]","8.30 [4.30, 18.5]","6.89 [3.30, 10.1]","NA [NA, NA]","6.10 [4.10, 14.2]","5.90 [3.40, 13.9]","NA [NA, NA]"
  Missing,1 (6.7%),6 (7.5%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
C-Reactive Protein,,,,,,,,,
  <10,13 (86.7%),69 (86.3%),0 (0%),6 (35.3%),29 (76.3%),0 (0%),16 (84.2%),65 (91.5%),0 (0%)
  >=10,1 (6.7%),8 (10.0%),0 (0%),11 (64.7%),9 (23.7%),0 (0%),3 (15.8%),6 (8.5%),0 (0%)
  Missing,1 (6.7%),3 (3.8%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
History of bowel resection\surgery,,,,,,,,,
  No,7 (46.7%),55 (68.8%),0 (0%),17 (100%),38 (100%),0 (0%),17 (89.5%),59 (83.1%),0 (0%)
  Yes,8 (53.3%),25 (31.3%),0 (0%),0 (0%),0 (0%),0 (0%),2 (10.5%),12 (16.9%),0 (0%)
  Missing,0 (0%),0 (0%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
Inflammatory,,,,,,,,,
  No,8 (53.3%),36 (45.0%),0 (0%),5 (29.4%),3 (7.9%),0 (0%),14 (73.7%),43 (60.6%),0 (0%)
  Yes,7 (46.7%),44 (55.0%),0 (0%),12 (70.6%),35 (92.1%),0 (0%),5 (26.3%),28 (39.4%),0 (0%)
  Missing,0 (0%),0 (0%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
Stricturing,,,,,,,,,
  No,12 (80.0%),55 (68.8%),0 (0%),15 (88.2%),37 (97.4%),0 (0%),14 (73.7%),57 (80.3%),0 (0%)
  Yes,3 (20.0%),25 (31.3%),0 (0%),2 (11.8%),1 (2.6%),0 (0%),5 (26.3%),14 (19.7%),0 (0%)
  Missing,0 (0%),0 (0%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
Penetrating,,,,,,,,,
  No,7 (46.7%),66 (82.5%),0 (0%),15 (88.2%),36 (94.7%),0 (0%),10 (52.6%),42 (59.2%),0 (0%)
  Yes,8 (53.3%),14 (17.5%),0 (0%),2 (11.8%),2 (5.3%),0 (0%),9 (47.4%),29 (40.8%),0 (0%)
  Missing,0 (0%),0 (0%),75 (100%),0 (0%),0 (0%),101 (100%),0 (0%),0 (0%),63 (100%)
Any medications?,,,,,,,,,
  No,4 (26.7%),43 (53.8%),35 (46.7%),17 (100%),37 (97.4%),101 (100%),7 (36.8%),37 (52.1%),52 (82.5%)
  Yes,11 (73.3%),37 (46.3%),40 (53.3%),0 (0%),1 (2.6%),0 (0%),12 (63.2%),34 (47.9%),11 (17.5%)
